avg,cen
30.10235294117648,26.47
31.13941176470589,29.41
32.52411764705883,29.41
32.697647058823534,32.35
34.428235294117655,32.35
35.63882352941177,32.35
35.63941176470589,32.35
34.42764705882354,29.41
32.17941176470588,29.41
30.103529411764708,26.47
28.89235294117648,29.41
27.508235294117654,26.47
27.162352941176476,23.53
26.989411764705885,23.53
26.29764705882353,23.53
26.989999999999995,23.53
24.222352941176467,20.59
24.222352941176464,20.59
25.08647058823529,20.59
27.50823529411765,23.53
28.372941176470597,23.53
30.27647058823529,26.47
30.795294117647057,26.47
31.141176470588242,26.47
