avg,cen
215.27000000000004,216.44
214.59086956521745,216.44
214.88913043478263,216.44
214.504347826087,216.44
214.0317391304348,216.44
213.06869565217394,216.44
212.31217391304352,216.44
212.2556521739131,216.44
211.9447826086957,216.44
206.98608695652175,216.44
208.2747826086957,216.44
210.85478260869573,216.44
213.74826086956526,216.44
215.8226086956522,216.44
214.9230434782609,216.44
216.47478260869565,216.44
216.22869565217397,216.44
214.92130434782612,216.44
213.12391304347832,216.44
212.99260869565225,216.44
211.2852173913044,216.44
209.38217391304354,216.44
208.34565217391312,216.44
209.46000000000004,216.44
