avg,cen
17.276999999999997,15.25
13.189333333333332,11.87
13.211999999999998,11.55
13.349666666666668,12.61
13.990333333333336,12.54
16.578333333333337,15.04
28.840666666666667,21.27
17.468666666666664,15.0
17.56,14.65
17.93666666666667,14.72
21.87399999999999,15.18
25.250333333333334,19.12
28.919999999999998,23.66
31.206,27.92
31.000333333333334,26.69
31.296666666666663,25.21
29.842333333333336,24.82
27.45966666666666,22.82
24.85166666666667,21.87
22.106,19.82
20.971333333333337,20.53
19.73866666666667,20.42
18.75133333333333,19.47
14.406000000000002,13.13
