avg,cen
5.199530201342299,5.22
5.217651006711427,5.22
5.218255033557065,5.22
5.218255033557065,5.22
5.193758389261761,5.22
5.2006711409396145,5.22
5.218255033557065,5.22
5.214697986577199,5.22
5.214697986577198,5.22
5.197919463087265,5.22
5.184966442953037,5.22
5.210536912751695,5.22
5.218255033557065,5.22
5.216510067114111,5.22
5.215906040268473,5.22
5.217046979865789,5.22
5.212348993288607,5.22
5.21409395973156,5.22
5.214765100671157,5.22
5.2106040268456555,5.13
5.212953020134245,5.22
5.2159060402684725,5.22
5.20651006711411,5.05
5.205973154362432,5.13
