0,1,time,week
9.02,0.77,2019-07-16 00:00:00,2
9.59,0.77,2019-07-16 01:00:00,2
9.62,0.77,2019-07-16 02:00:00,2
9.08,0.77,2019-07-16 03:00:00,2
9.57,0.7,2019-07-16 04:00:00,2
9.62,0.74,2019-07-16 05:00:00,2
14.13,5.81,2019-07-16 06:00:00,2
14.53,10.92,2019-07-16 07:00:00,2
14.01,9.58,2019-07-16 08:00:00,2
15.58,8.84,2019-07-16 09:00:00,2
15.04,8.66,2019-07-16 10:00:00,2
14.54,9.26,2019-07-16 11:00:00,2
14.03,9.01,2019-07-16 12:00:00,2
13.54,9.44,2019-07-16 13:00:00,2
12.81,9.58,2019-07-16 14:00:00,2
13.6,9.65,2019-07-16 15:00:00,2
12.92,9.65,2019-07-16 16:00:00,2
11.91,9.4,2019-07-16 17:00:00,2
11.96,9.44,2019-07-16 18:00:00,2
12.95,8.94,2019-07-16 19:00:00,2
12.86,8.45,2019-07-16 20:00:00,2
9.85,3.63,2019-07-16 21:00:00,2
9.58,0.85,2019-07-16 22:00:00,2
9.64,0.85,2019-07-16 23:00:00,2
9.08,0.77,2019-07-17 00:00:00,3
9.78,0.85,2019-07-17 01:00:00,3
9.78,0.77,2019-07-17 02:00:00,3
9.07,0.74,2019-07-17 03:00:00,3
9.75,0.7,2019-07-17 04:00:00,3
9.86,0.81,2019-07-17 05:00:00,3
13.52,3.24,2019-07-17 06:00:00,3
15.81,0.0,2019-07-17 07:00:00,3
17.89,16.65,2019-07-17 08:00:00,3
17.94,0.14,2019-07-17 09:00:00,3
18.23,50.63,2019-07-17 10:00:00,3
20.22,107.11,2019-07-17 11:00:00,3
17.88,115.07,2019-07-17 12:00:00,3
15.89,104.08,2019-07-17 13:00:00,3
13.36,98.06,2019-07-17 14:00:00,3
13.23,90.49,2019-07-17 15:00:00,3
10.54,87.92,2019-07-17 16:00:00,3
10.3,84.82,2019-07-17 17:00:00,3
11.14,83.8,2019-07-17 18:00:00,3
11.5,73.87,2019-07-17 19:00:00,3
10.85,76.55,2019-07-17 20:00:00,3
9.42,33.7,2019-07-17 21:00:00,3
8.42,1.27,2019-07-17 22:00:00,3
8.47,1.48,2019-07-17 23:00:00,3
7.78,1.3,2019-07-18 00:00:00,4
8.34,1.23,2019-07-18 01:00:00,4
8.43,1.27,2019-07-18 02:00:00,4
8.29,1.27,2019-07-18 03:00:00,4
7.76,1.2,2019-07-18 04:00:00,4
8.33,1.27,2019-07-18 05:00:00,4
12.42,27.32,2019-07-18 06:00:00,4
13.42,50.46,2019-07-18 07:00:00,4
