0,1,time,week
150.13,52.5,2019-05-25 01:00:00,6
147.4,56.51,2019-05-25 02:00:00,6
147.18,14.33,2019-05-25 03:00:00,6
155.61,2.85,2019-05-25 04:00:00,6
176.43,2.01,2019-05-25 05:00:00,6
164.88,1.9,2019-05-25 06:00:00,6
126.17,6.58,2019-05-25 07:00:00,6
105.81,72.22,2019-05-25 08:00:00,6
125.24,127.18,2019-05-25 09:00:00,6
121.85,161.94,2019-05-25 10:00:00,6
132.19,188.45,2019-05-25 11:00:00,6
121.14,211.27,2019-05-25 12:00:00,6
127.52,223.17,2019-05-25 13:00:00,6
117.24,233.98,2019-05-25 14:00:00,6
122.96,239.86,2019-05-25 15:00:00,6
121.67,243.31,2019-05-25 16:00:00,6
118.61,239.82,2019-05-25 17:00:00,6
127.71,234.05,2019-05-25 18:00:00,6
129.98,209.3,2019-05-25 19:00:00,6
144.82,189.79,2019-05-25 20:00:00,6
149.9,141.02,2019-05-25 21:00:00,6
129.13,141.23,2019-05-25 22:00:00,6
137.08,106.16,2019-05-25 23:00:00,6
145.89,171.73,2019-06-01 00:00:00,6
141.86,139.08,2019-06-01 01:00:00,6
148.07,114.54,2019-06-01 02:00:00,6
144.53,89.54,2019-06-01 03:00:00,6
149.9,74.44,2019-06-01 04:00:00,6
152.04,60.67,2019-06-01 05:00:00,6
138.29,71.34,2019-06-01 06:00:00,6
133.83,120.39,2019-06-01 07:00:00,6
131.9,183.87,2019-06-01 08:00:00,6
146.84,250.95,2019-06-01 09:00:00,6
147.86,268.66,2019-06-01 10:00:00,6
140.21,284.86,2019-06-01 11:00:00,6
144.67,308.27,2019-06-01 12:00:00,6
134.83,296.27,2019-06-01 13:00:00,6
126.78,292.36,2019-06-01 14:00:00,6
132.89,293.94,2019-06-01 15:00:00,6
131.17,299.47,2019-06-01 16:00:00,6
135.6,300.07,2019-06-01 17:00:00,6
129.82,305.99,2019-06-01 18:00:00,6
134.27,281.8,2019-06-01 19:00:00,6
141.34,243.59,2019-06-01 20:00:00,6
