,1
p,-11.5
k,10
db,0.7815843841582948
cp,2.3946646824790876
sp,17.660342811646306
gyh_db,0.0
gyh_cp,0.11487650419991297
gyh_sp,0.02719586326214015
zb,0.03551809186551328
exemplars,[ 1 30 32 36 37 43 62 69 78 97]
labels,"[43  1 97 97 32 32 43 43 32 32 32 43 32 43 43 32 32 32 32 32 32 32 62 32
 32 32 32 32 32 32 30 43 32 43 43 78 36 37 97 78 43 43 43 43 43 43 43 43
 43 43 32 43 32 43 43 62 43 32 43 43 62 32 62 32 32 62 62 62 32 69 62 78
 78 78 78 62 78 78 78 78 78 78 78 78 78 32 78 97 78 97 97 97 97 97 78 97
 78 97 97 97 97]"
