avg,cen
279.648125,316.02
269.796875,289.65
266.74375000000003,299.19
258.42312499999997,286.73
245.95124999999996,271.83
233.8425,254.86
231.351875,262.11
243.89,276.62
251.29437499999997,270.39
282.115,292.54
332.486875,364.79
383.52437499999996,410.32
433.68875,447.54
461.7475,495.95
461.88562499999995,495.7
468.68875,483.84
465.27625000000006,487.89
449.35124999999994,476.69
425.5843750000001,415.0
385.97374999999994,389.19
372.078125,373.17
358.33687499999996,385.81
340.56187499999993,362.04
319.38374999999996,335.32
