avg,cen
183.22571428571428,181.41
185.08571428571426,179.93
190.0228571428572,181.9
186.18714285714287,180.77
174.23142857142858,179.65
169.0,179.96
177.9457142857143,193.27
172.85142857142858,188.27
168.08428571428573,182.54
190.76857142857142,198.98
214.59714285714284,199.86
202.60428571428568,199.05
188.39000000000001,197.5
210.45428571428573,208.42
202.73571428571427,206.58
194.43142857142857,194.33
185.8542857142857,186.2
194.60142857142858,177.32
181.56571428571428,158.77
170.8457142857143,155.46
161.82571428571433,151.2
161.70142857142855,148.49
155.0157142857143,124.51
153.33999999999997,110.77
