avg,cen
48.04166666666668,46.92
44.44166666666666,43.88
44.32583333333333,45.09
45.4375,44.46
50.779999999999994,48.78
59.886666666666656,58.15
61.149166666666666,56.46
62.19750000000001,61.05
92.2975,99.95
104.1425,109.91
102.08249999999998,108.13
79.985,82.65
110.27499999999999,108.42
102.64916666666669,111.41
98.02166666666666,104.59
99.47333333333334,102.67
97.17250000000001,95.43
101.07166666666667,104.22
108.21833333333332,108.92
114.71666666666665,114.66
115.49750000000002,120.89
110.22833333333334,114.88
76.26,71.96
58.681666666666665,53.33
