avg,cen
19.75,23.53
19.330000000000002,17.65
20.59,17.65
20.59,17.65
21.430000000000003,17.65
21.01,20.59
21.430000000000003,20.59
21.85,17.65
21.430000000000003,17.65
21.01,20.59
20.169999999999998,17.65
20.169999999999998,17.65
21.430000000000003,17.65
22.69,20.59
18.490000000000002,17.65
18.91,17.65
19.330000000000002,20.59
21.009999999999998,20.59
21.849999999999998,20.59
19.75,20.59
15.968571428571428,20.59
18.068571428571428,20.59
18.91,20.59
21.430000000000003,20.59
