,10
p,-10.7
k,10
db,0.5999165995767692
cp,1.2467985158336794
sp,16.090034325622735
gyh_db,0.5557119647640808
gyh_cp,0.23616743825627243
gyh_sp,0.38748712649044087
zb,0.43376962356871873
exemplars,[  2  22  29  31  32  33  91 101 103 107]
labels,"[  2   2   2  91  91  91  91  91   2   2   2   2   2  91  91   2  91   2
   2  91   2   2   2   2   2   2   2   2  22  29   2  31  32  33   2   2
   2   2   2   2  91  91  91   2   2   2   2   2  91  91  91  91   2  91
  91  91  91   2  91  91  91  91  91  91  91  91  91   2   2   2   2   2
  91   2  91  91  91  91  91  91  91  91  91  91  91  91  91  91  91  91
  91  91  91  91  91  91   2  91  91   2   2 101  91 103  91   2   2 107]"
