avg,cen
66.07099999999998,67.7
67.76,70.53
69.08800000000001,70.4
71.77799999999999,73.33
74.34400000000001,74.54
76.845,77.67
79.795,78.95
66.89099999999999,67.28
60.69499999999999,57.19
54.91600000000001,58.99
52.67299999999999,52.39
49.97099999999999,53.07
49.577999999999996,52.19
49.974000000000004,52.15
48.33200000000001,52.81
49.791000000000004,48.18
48.114,51.05
49.94,50.65
51.284000000000006,54.88
64.47800000000001,67.04
62.575,63.81
63.516,65.07
62.275999999999996,63.12
63.68399999999999,65.76
