avg,cen
11.55181818181818,9.95
11.299999999999999,9.89
11.213636363636363,9.92
11.138181818181817,9.88
11.185454545454547,9.96
10.825454545454546,9.8
10.762727272727272,9.82
10.75090909090909,9.86
10.82818181818182,9.98
11.007272727272728,9.98
11.261818181818184,10.37
11.490000000000002,10.66
11.760909090909092,10.88
12.096363636363634,11.35
12.614545454545453,11.52
12.939999999999998,11.38
13.018181818181818,11.47
12.954545454545455,11.31
12.292727272727273,10.56
12.031818181818181,10.34
11.859090909090911,10.43
11.553636363636363,10.36
11.011818181818182,10.23
10.819090909090908,9.87
