avg,cen
0.7966666666666665,0.6
0.8042857142857143,0.42
0.6457142857142857,0.35
0.6585714285714285,0.18
0.5633333333333334,0.14
0.6138095238095238,0.04
0.4423809523809523,0.0
0.4876190476190476,0.0
0.4480952380952381,0.0
0.4014285714285714,0.0
0.37238095238095237,0.0
0.5214285714285715,0.0
0.4838095238095238,0.0
0.5623809523809524,0.0
0.5985714285714285,0.0
0.5223809523809523,0.0
0.751904761904762,0.0
0.8357142857142857,0.0
1.132857142857143,0.0
1.1152380952380954,0.0
1.2033333333333336,0.0
1.2552380952380955,0.0
1.2490476190476192,0.0
1.4261904761904762,0.0
