avg,cen
139.57111111111112,148.23
135.8861111111111,144.44
134.67055555555558,141.92
132.95166666666665,138.36
131.90833333333333,135.49
129.61,133.78
124.09611111111111,131.7
125.20833333333331,131.88
132.1461111111111,136.47
140.57000000000002,142.51
146.85444444444445,147.78
151.30888888888887,148.2
154.84166666666664,151.7
160.73000000000008,158.36
172.00277777777774,165.21
180.25666666666666,182.22
183.42055555555555,181.2
180.72777777777776,174.2
173.05555555555554,162.35
166.25666666666666,157.47
157.16777777777776,151.08
150.69666666666666,147.5
147.18611111111113,146.9
146.28666666666663,146.84
