avg,cen
178.33880000000008,172.53
175.7096,171.71
174.58,171.27
171.7784,166.0
168.1828,164.79
167.8296,164.24
167.2352,163.54
166.8908,166.33
167.7796,170.77
173.06280000000004,173.98
179.1552,174.24
179.61319999999995,178.96
182.18880000000001,179.05
184.25679999999997,182.1
184.4848,183.85
188.11359999999996,184.74
186.27720000000002,184.23
185.25520000000003,177.29
182.41240000000002,176.46
183.3876,178.82
181.40040000000005,178.05
180.1808,176.27
176.24879999999993,173.99
175.78880000000004,172.07
