avg,cen
63.23500000000001,61.76
65.33571428571429,64.71
67.01642857142858,67.65
69.53642857142856,70.59
70.79785714285714,73.53
73.94857142857143,76.47
75.41999999999999,76.47
80.67142857142858,85.29
78.15071428571427,82.35
71.84785714285717,76.47
63.025,67.65
55.67285714285715,52.94
49.79,50.0
45.16857142857142,47.06
42.85928571428572,50.0
42.649285714285725,47.06
44.119285714285716,47.06
46.22000000000001,47.06
50.0,50.0
53.36142857142857,52.94
56.512857142857136,55.88
59.452857142857155,58.82
60.50285714285714,58.82
61.34357142857143,55.88
