p,k,db,cp,sp,exemplars,labels
-9.0,4,0.0,0.0,24.636087631413677,[0 1 2 3],[0 1 2 3]
-10.0,4,0.0,0.0,24.636087631413677,[0 1 2 3],[0 1 2 3]
-11.0,4,0.0,0.0,24.636087631413677,[0 1 2 3],[0 1 2 3]
-12.0,4,0.0,0.0,24.636087631413677,[0 1 2 3],[0 1 2 3]
-13.0,4,0.0,0.0,24.636087631413677,[0 1 2 3],[0 1 2 3]
-14.0,4,0.0,0.0,24.636087631413677,[0 1 2 3],[0 1 2 3]
-15.0,4,0.0,0.0,24.636087631413677,[0 1 2 3],[0 1 2 3]
-16.0,4,0.0,0.0,24.636087631413677,[0 1 2 3],[0 1 2 3]
-17.0,4,0.0,0.0,24.636087631413677,[0 1 2 3],[0 1 2 3]
-18.0,4,0.0,0.0,24.636087631413677,[0 1 2 3],[0 1 2 3]
-19.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-20.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-21.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-22.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-23.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-24.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-25.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-26.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-27.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-28.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-29.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-30.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-31.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-32.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-33.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-34.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-35.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-36.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-37.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-38.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
-39.0,4,1.1851014680846539,4.493280721193261,24.636087631413677,[0 1 2 3],[2 1 0 3]
