avg,cen
19.352105263157892,17.65
19.661578947368415,17.65
20.28052631578947,17.65
21.208947368421047,20.59
21.363684210526312,20.59
21.05421052631579,23.53
20.744736842105254,20.59
22.756315789473685,20.59
22.91105263157894,20.59
26.31526315789474,23.53
25.541578947368418,26.47
22.446842105263148,20.59
23.529999999999998,20.59
26.00578947368421,23.53
20.744736842105254,17.65
19.81631578947368,17.65
20.89947368421052,17.65
21.51842105263157,20.59
25.077368421052636,26.47
22.137368421052624,17.65
18.423684210526314,17.65
19.04263157894736,20.59
19.661578947368415,20.59
19.197368421052627,20.59
