,26
p,-34.6
k,4
db,0.6154304092323384
cp,3.2600047976236253
sp,34.59986654651957
gyh_db,0.14950305482481835
gyh_cp,0.3091560612639298
gyh_sp,0.0
zb,0.15204054272839163
exemplars,[  9  69 120 121]
labels,"[  9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9
   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9
   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9
   9   9   9   9   9   9   9  69  69  69  69  69   9  69  69  69  69   9
   9   9  69   9   9   9   9  69   9   9  69  69  69  69   9   9   9   9
   9   9   9  69  69  69  69   9   9   9   9   9   9   9   9   9   9   9
   9   9   9   9   9   9   9   9   9   9   9   9 120 121   9   9   9   9
   9   9   9   9   9   9   9   9]"
