0,1,time,week
68.1,51.62,2019-11-04 00:00:00,1
71.77,49.82,2019-11-04 01:00:00,1
71.18,48.38,2019-11-04 02:00:00,1
72.03,48.06,2019-11-04 03:00:00,1
76.23,46.51,2019-11-04 04:00:00,1
74.66,46.44,2019-11-04 05:00:00,1
79.02,44.4,2019-11-04 06:00:00,1
85.41,44.19,2019-11-04 07:00:00,1
71.11,46.62,2019-11-04 08:00:00,1
60.57,55.18,2019-11-04 09:00:00,1
57.28,65.11,2019-11-04 10:00:00,1
49.79,70.21,2019-11-04 11:00:00,1
53.41,84.23,2019-11-04 12:00:00,1
52.2,93.35,2019-11-04 13:00:00,1
49.54,94.01,2019-11-04 14:00:00,1
41.94,87.04,2019-11-04 15:00:00,1
42.99,89.96,2019-11-04 16:00:00,1
41.85,86.2,2019-11-04 17:00:00,1
43.71,80.56,2019-11-04 18:00:00,1
50.22,82.22,2019-11-04 19:00:00,1
46.36,72.43,2019-11-04 20:00:00,1
48.69,65.85,2019-11-04 21:00:00,1
53.11,60.85,2019-11-04 22:00:00,1
53.61,59.12,2019-11-04 23:00:00,1
58.91,56.69,2019-11-05 00:00:00,2
57.6,52.68,2019-11-05 01:00:00,2
64.3,50.6,2019-11-05 02:00:00,2
69.72,50.56,2019-11-05 03:00:00,2
67.79,49.72,2019-11-05 04:00:00,2
74.05,47.43,2019-11-05 05:00:00,2
71.78,47.25,2019-11-05 06:00:00,2
77.18,47.39,2019-11-05 07:00:00,2
66.7,50.95,2019-11-05 08:00:00,2
59.33,63.31,2019-11-05 09:00:00,2
59.48,68.98,2019-11-05 10:00:00,2
63.95,76.73,2019-11-05 11:00:00,2
52.93,83.38,2019-11-05 12:00:00,2
55.58,95.95,2019-11-05 13:00:00,2
52.34,102.68,2019-11-05 14:00:00,2
52.43,102.61,2019-11-05 15:00:00,2
51.42,100.42,2019-11-05 16:00:00,2
42.99,90.95,2019-11-05 17:00:00,2
44.52,85.95,2019-11-05 18:00:00,2
43.14,79.93,2019-11-05 19:00:00,2
42.82,73.87,2019-11-05 20:00:00,2
46.92,71.76,2019-11-05 21:00:00,2
47.05,66.8,2019-11-05 22:00:00,2
52.17,63.63,2019-11-05 23:00:00,2
54.38,61.94,2019-11-06 00:00:00,3
52.59,59.15,2019-11-06 01:00:00,3
58.23,58.94,2019-11-06 02:00:00,3
58.43,58.59,2019-11-06 03:00:00,3
62.38,57.04,2019-11-06 04:00:00,3
60.1,55.46,2019-11-06 05:00:00,3
64.84,55.28,2019-11-06 06:00:00,3
66.41,53.17,2019-11-06 07:00:00,3
63.98,58.13,2019-11-06 08:00:00,3
60.01,68.2,2019-11-06 09:00:00,3
54.03,74.4,2019-11-06 10:00:00,3
56.95,84.65,2019-11-06 11:00:00,3
52.97,95.74,2019-11-06 12:00:00,3
51.06,95.04,2019-11-06 13:00:00,3
45.1,94.51,2019-11-06 14:00:00,3
49.68,98.06,2019-11-06 15:00:00,3
47.37,94.86,2019-11-06 16:00:00,3
40.26,79.96,2019-11-06 17:00:00,3
41.84,76.58,2019-11-06 18:00:00,3
43.25,71.73,2019-11-06 19:00:00,3
44.93,68.45,2019-11-06 20:00:00,3
45.14,65.85,2019-11-06 21:00:00,3
47.86,62.57,2019-11-06 22:00:00,3
52.08,58.52,2019-11-06 23:00:00,3
53.3,58.45,2019-11-07 00:00:00,4
59.85,55.04,2019-11-07 01:00:00,4
63.42,55.07,2019-11-07 02:00:00,4
62.89,51.76,2019-11-07 03:00:00,4
65.79,51.3,2019-11-07 04:00:00,4
64.38,51.13,2019-11-07 05:00:00,4
70.65,50.42,2019-11-07 06:00:00,4
74.7,50.53,2019-11-07 07:00:00,4
66.93,51.58,2019-11-07 08:00:00,4
54.64,60.14,2019-11-07 09:00:00,4
52.7,72.85,2019-11-07 10:00:00,4
59.28,82.36,2019-11-07 11:00:00,4
53.39,89.4,2019-11-07 12:00:00,4
57.07,101.44,2019-11-07 13:00:00,4
53.32,103.56,2019-11-07 14:00:00,4
49.67,99.4,2019-11-07 15:00:00,4
46.4,96.97,2019-11-07 16:00:00,4
43.9,86.16,2019-11-07 17:00:00,4
43.48,79.51,2019-11-07 18:00:00,4
42.69,72.71,2019-11-07 19:00:00,4
42.41,70.32,2019-11-07 20:00:00,4
50.16,67.92,2019-11-07 21:00:00,4
51.11,66.2,2019-11-07 22:00:00,4
58.54,63.63,2019-11-07 23:00:00,4
59.4,61.34,2019-11-08 00:00:00,5
56.84,60.42,2019-11-08 01:00:00,5
61.62,57.99,2019-11-08 02:00:00,5
59.96,57.29,2019-11-08 03:00:00,5
62.67,55.0,2019-11-08 04:00:00,5
63.0,53.98,2019-11-08 05:00:00,5
62.38,53.17,2019-11-08 06:00:00,5
69.07,52.75,2019-11-08 07:00:00,5
64.41,59.12,2019-11-08 08:00:00,5
57.38,68.87,2019-11-08 09:00:00,5
54.23,79.44,2019-11-08 10:00:00,5
53.91,88.42,2019-11-08 11:00:00,5
55.34,97.99,2019-11-08 12:00:00,5
50.14,98.2,2019-11-08 13:00:00,5
46.69,96.76,2019-11-08 14:00:00,5
50.55,102.85,2019-11-08 15:00:00,5
50.27,99.12,2019-11-08 16:00:00,5
46.1,86.37,2019-11-08 17:00:00,5
47.75,81.48,2019-11-08 18:00:00,5
49.8,76.2,2019-11-08 19:00:00,5
48.0,70.7,2019-11-08 20:00:00,5
51.72,69.65,2019-11-08 21:00:00,5
57.26,68.66,2019-11-08 22:00:00,5
55.49,64.3,2019-11-08 23:00:00,5
58.78,60.67,2019-11-11 00:00:00,1
59.44,56.87,2019-11-11 01:00:00,1
63.35,55.56,2019-11-11 02:00:00,1
66.54,55.0,2019-11-11 03:00:00,1
64.05,54.26,2019-11-11 04:00:00,1
67.11,52.75,2019-11-11 05:00:00,1
66.57,51.83,2019-11-11 06:00:00,1
68.52,50.14,2019-11-11 07:00:00,1
66.7,51.51,2019-11-11 08:00:00,1
57.4,52.22,2019-11-11 09:00:00,1
60.58,60.42,2019-11-11 10:00:00,1
57.52,67.22,2019-11-11 11:00:00,1
53.79,73.2,2019-11-11 12:00:00,1
58.17,78.27,2019-11-11 13:00:00,1
52.47,84.05,2019-11-11 14:00:00,1
51.54,87.29,2019-11-11 15:00:00,1
47.77,88.8,2019-11-11 16:00:00,1
49.55,87.68,2019-11-11 17:00:00,1
51.67,84.58,2019-11-11 18:00:00,1
53.97,78.13,2019-11-11 19:00:00,1
59.42,73.56,2019-11-11 20:00:00,1
53.56,68.42,2019-11-11 21:00:00,1
59.96,64.08,2019-11-11 22:00:00,1
59.9,60.39,2019-11-11 23:00:00,1
59.97,57.82,2019-11-12 00:00:00,2
64.02,53.8,2019-11-12 01:00:00,2
62.37,53.27,2019-11-12 02:00:00,2
63.81,52.15,2019-11-12 03:00:00,2
66.49,52.25,2019-11-12 04:00:00,2
62.8,52.22,2019-11-12 05:00:00,2
64.46,52.32,2019-11-12 06:00:00,2
69.78,51.76,2019-11-12 07:00:00,2
62.84,55.18,2019-11-12 08:00:00,2
57.93,67.08,2019-11-12 09:00:00,2
55.84,72.22,2019-11-12 10:00:00,2
57.65,76.02,2019-11-12 11:00:00,2
56.61,82.99,2019-11-12 12:00:00,2
59.53,95.56,2019-11-12 13:00:00,2
55.45,97.15,2019-11-12 14:00:00,2
47.42,81.44,2019-11-12 15:00:00,2
34.56,71.97,2019-11-12 16:00:00,2
40.31,68.77,2019-11-12 17:00:00,2
45.46,66.9,2019-11-12 18:00:00,2
48.31,64.96,2019-11-12 19:00:00,2
56.03,61.97,2019-11-12 20:00:00,2
55.76,57.71,2019-11-12 21:00:00,2
61.9,56.55,2019-11-12 22:00:00,2
63.76,55.85,2019-11-12 23:00:00,2
