avg,cen
5.350344827586206,5.49
5.538620689655173,5.52
5.492758620689655,5.47
5.4272413793103444,5.47
5.374482758620691,5.45
15.994827586206895,15.33
20.813103448275864,19.81
22.243103448275864,21.19
21.691724137931036,20.77
21.51103448275862,21.38
21.526551724137935,20.98
21.021034482758623,20.78
20.54034482758621,20.03
20.541034482758622,19.89
20.31310344827586,19.77
20.411034482758627,19.65
20.66862068965517,19.77
20.91448275862069,20.73
21.42172413793103,20.71
21.638620689655173,20.81
21.743103448275864,20.35
21.843103448275862,20.78
10.318275862068965,10.64
5.466206896551723,6.31
