,3
p,-12.1
k,11
db,0.7306703724258837
cp,1.909815665949857
sp,19.503280425522696
gyh_db,0.0
gyh_cp,0.08051453340370364
gyh_sp,0.10645759391853754
zb,0.04674303183056029
exemplars,[  1  30  70 129 130 136 139 153 163 164 170]
labels,"[  1   1   1  30  30  30 153 136 153 136 153 136  70 136 136 153  30  30
  30 136 153  70  70 136 136 153 153  30  30 136  30 136  70 153 136  30
  30  30   1  30  30  70 136 136  70  70  70  70  70 136  30 153  30  30
  70  70  70  70  70  70  70  70  70  70  70  70  70  70  70  70  70  70
  70  70  70  70  70  70  70  70  70  70  70  70 136  70  70  70  70  70
  70  70  70  70  70  70  70  70  70  70  70  70  70  70 153 153  70  70
  70 136 136 153 136 136 153 136 136 136 136 136 153 136 136  70 153 136
 153 136 136 129 130 136 136 136 153 136 136 136 136 139 136 136 136 136
  70 153 136 153 153 153 153 153 153 153 153 153 153  70  70  70  70  70
  70 163 164  70  70  70  70 136 170 153  70  70  70  70  70  70  70  70
  70  70  70  70  70 153 153]"
