avg,cen
53.98727272727273,50.32
53.276818181818186,51.01
53.89727272727273,53.21
54.225909090909084,53.24
57.33954545454546,56.02
65.83999999999999,66.03
78.44272727272728,77.17
91.5122727272727,90.48
101.95227272727271,102.41
106.06545454545453,107.14
105.685,106.16
104.17954545454546,104.69
102.785,99.86
100.22409090909095,94.93
97.93909090909091,95.48
95.33045454545453,94.45
91.51681818181818,90.54
84.60863636363636,85.76
73.05318181818183,71.09
65.16272727272727,62.7
62.86090909090911,61.3
62.66090909090908,59.58
59.97681818181818,56.99
55.38863636363637,52.88
