0,1,time,week
280.48,198.06,2019-12-30 18:00:00,1
280.88,192.64,2019-12-30 19:00:00,1
280.33,197.75,2019-12-30 20:00:00,1
274.82,187.15,2019-12-30 21:00:00,1
274.66,184.79,2019-12-30 22:00:00,1
263.38,173.38,2019-12-30 23:00:00,1
248.18,150.63,2019-12-31 00:00:00,2
250.22,146.34,2019-12-31 01:00:00,2
246.42,146.76,2019-12-31 02:00:00,2
239.54,153.2,2019-12-31 03:00:00,2
240.56,144.86,2019-12-31 04:00:00,2
240.15,144.47,2019-12-31 05:00:00,2
260.86,149.3,2019-12-31 06:00:00,2
268.87,143.49,2019-12-31 07:00:00,2
274.28,159.44,2019-12-31 08:00:00,2
279.68,164.86,2019-12-31 09:00:00,2
282.49,193.73,2019-12-31 10:00:00,2
278.7,210.0,2019-12-31 11:00:00,2
283.59,216.94,2019-12-31 12:00:00,2
282.88,218.24,2019-12-31 13:00:00,2
285.94,206.55,2019-12-31 14:00:00,2
279.25,205.32,2019-12-31 15:00:00,2
275.17,203.45,2019-12-31 16:00:00,2
276.06,207.92,2019-12-31 17:00:00,2
272.04,211.73,2019-12-31 18:00:00,2
271.84,204.44,2019-12-31 19:00:00,2
263.67,195.77,2019-12-31 20:00:00,2
264.81,190.99,2019-12-31 21:00:00,2
260.61,187.08,2019-12-31 22:00:00,2
254.53,165.46,2019-12-31 23:00:00,2
