p,k,db,cp,sp,exemplars,labels
-0.0,4,0.0,0.0,32.82567619880995,[0 1 2 3],[0 1 2 3 2 1]
-1.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-2.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-3.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-4.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-5.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-6.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-7.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-8.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-9.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-10.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-11.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-12.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-13.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-14.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-15.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-16.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-17.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-18.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-19.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-20.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-21.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-22.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-23.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-24.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-25.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-26.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-27.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-28.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-29.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-30.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-31.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-32.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-33.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-34.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-35.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-36.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-37.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-38.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
-39.0,6,0.0,0.0,27.322520242785888,[0 1 2 3 4 5],[0 5 4 3 2 1]
