,11
p,-11.8
k,9
db,0.7253431617329364
cp,2.6407022189347895
sp,25.971797092556347
gyh_db,0.42871683678085004
gyh_cp,0.32964091578505433
gyh_sp,0.0
zb,0.2967686473366886
exemplars,[ 1 13 35 39 47 63 69 70 75]
labels,"[ 1  1  1  1  1 13 63 13 13 13 13 13 13 13 13 35 35 13 13 13 13 13 13 13
 13 13 35 35 35 35 35 13  1 13 35 35 35 35 35 39 13 13 63 13 13 13  1 47
  1 35 35 35 35 13 63 63 63 13 35 63 63 63 63 63 63 63 63 63 63 69 70 63
 63 63 63 75 63 63 63 63 63 69 63  1  1 35 13 13 63 63 63 63 63 63 63 63
 63 63 63]"
