,2
p,-14.1
k,9
db,0.7719479139077235
cp,1.915108572207291
sp,22.369658521241274
gyh_db,0.0
gyh_cp,0.05259421968453183
gyh_sp,0.16859962064189868
zb,0.05529846008160763
exemplars,[  3  29  39  54  73 109 114 115 126]
labels,"[109 109 109   3 109  73 109 109 109 109 109 109 109 109 109 109 109 109
 109 109  73 109 109 109 109  73 109 109 109  29 109 109 109 109  73 109
 109  73  73  39 109 109 109 109 109  73  73  73 109 109  73  73  73 109
  54  73 109  73 109 109  73  73  73  73 109  73  73 109 109 109 109 109
  73  73  73 109 109 109  73 109  73 109 109  73 109  73 109  73 109 109
 109 109  73 109 109 109 109  73  73  73  73 109  73 109 109 109  73  73
  73 109 109 109  73  73 114 115 115 109 109 109 109 109 109 109  73 109
 126]"
