,10
p,-11.1
k,5
db,0.2857683846123402
cp,0.8617286144678756
sp,19.219951519853797
gyh_db,0.26561875767177157
gyh_cp,0.364855597580174
gyh_sp,0.2361721676510381
zb,0.2830663201436888
exemplars,[38 62 77 96 97]
labels,"[62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
 62 62 62 62 62 62 62 62 62 62 62 62 62 62 38 62 62 62 62 62 62 62 62 62
 62 77 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
 62 62 62 62 62 77 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
 96 97]"
