avg,cen
29.87545454545455,29.66
30.05878787878788,29.7
29.97045454545454,29.78
29.60560606060606,29.26
29.227121212121215,29.47
28.814393939393938,29.59
43.81136363636362,40.5
51.15590909090909,43.61
50.21727272727273,42.58
51.99484848484851,40.36
53.450303030303026,41.24
54.10196969696968,43.41
52.75530303030302,42.86
51.889242424242425,42.78
52.488939393939404,42.77
53.661969696969706,43.45
52.785151515151504,43.33
50.52424242424245,42.19
50.90151515151513,49.01
55.64242424242425,54.45
56.45696969696969,56.64
55.101666666666645,57.33
37.777121212121216,40.92
30.80530303030303,35.46
