,17
p,-17.0
k,4
db,0.04391380239217577
cp,0.20461162214563164
sp,33.28456169631132
gyh_db,0.015365116230668944
gyh_cp,0.17739888684098484
gyh_sp,0.0
zb,0.05203227982558068
exemplars,[ 71  72  88 128]
labels,"[ 88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88
  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88
  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88
  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  71
  72  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88
  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88
  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88
  88  88 128  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88
  88  88  88  88  88  88  88  88]"
