avg,cen
259.7778947368421,258.68
256.6426315789474,255.68
253.71631578947373,252.86
251.29789473684215,247.77
251.40947368421052,250.16
252.93999999999997,252.59
274.9873684210526,273.85
273.6494736842106,275.08
273.20000000000005,270.63
274.52473684210526,272.17
279.61947368421056,279.69
284.13315789473677,278.56
288.06842105263166,287.29
289.75000000000006,288.9
289.11578947368423,287.4
288.13894736842104,290.61
288.1252631578948,289.17
291.42999999999995,292.47
291.98157894736846,296.53
289.5763157894737,290.24
286.52842105263164,285.5
281.51210526315793,282.54
277.0705263157895,279.12
269.2921052631579,276.23
