avg,cen
1.9276315789473684,1.58
1.673684210526316,1.8
1.6757894736842107,1.87
1.6905263157894739,1.9
40.882631578947375,23.7
94.54,86.83
179.51315789473688,189.61
635.7886842105263,681.13
470.20500000000004,462.96
354.2010526315789,300.11
362.3086842105263,334.4
427.6989473684211,401.55
433.9715789473683,399.44
436.68605263157906,384.12
461.51289473684216,421.02
445.80368421052646,417.99
440.58499999999987,426.34
429.11105263157896,395.92
405.135,378.1
364.32763157894743,347.39
314.92526315789473,319.19
300.438947368421,327.11
150.6628947368421,173.73
14.55736842105263,14.08
