avg,cen
45.035000000000004,41.44
43.276666666666664,36.65
41.475,37.16
39.52666666666667,37.11
43.52833333333333,36.8
45.685,43.72
43.27333333333333,46.33
40.96333333333333,39.02
47.17000000000001,39.8
52.35833333333334,47.23
63.54,55.24
75.17,68.05
84.59166666666668,85.23
89.045,91.66
88.87833333333333,85.82
91.67166666666667,88.8
89.15833333333335,86.03
90.40833333333332,87.24
97.59666666666668,103.63
106.40333333333332,96.21
95.96833333333332,85.2
66.865,54.68
51.97,50.77
48.410000000000004,50.04
