,3
p,-6.7
k,12
db,0.4411124827359298
cp,0.44365262853176873
sp,19.02575111273607
gyh_db,0.21266371401376263
gyh_cp,0.030656481509101264
gyh_sp,0.5064124923198414
zb,0.24059910046411698
exemplars,[ 12  23  60 113 129 136 151 152 153 154 163 164]
labels,"[ 12 136  12  12  12  12 136  12  60  60  60  60  12 136  60  60 136  60
  60  60  60  60  60  23  60  60  60  60 136  60  60  60  60  60  60  60
  60  60  60  12  60  12  12  12 136  12  12  60  60  60  60  60  60  60
  60  60  60  60  60  60  60  60  60  60  60  60  60  60  60  60  60  60
  12  60  60  60  60  60  60  60  60 136 136 136 136 136 136 136 136 136
 136 136 136 136 136 136 136 136 136 136 136 136 136 136 136 136 136 136
 136 136 136 136 136 113 136 136 136 136 136 136 136 136 136 136 136 136
 136 136 136 129 136 136 136 136 136 136 136 136 136 136 136 136 136 136
 136  12 136 136 136 136 136 151 152 153 154  12 136 136 136 136 136 136
  12 163 164  12  12]"
